id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1202218817906249728,1202218817906249728,2019-12-04 19:01:16 IST,2019-12-04,19:01:16,+0530,1961333743,wallstcynic,Diogenes,,Up In Smoke: Edison International Could Go The Way Of PG&amp;E | Someone else waking-up to the silliness of the electric utility model. $EIX has seen virtually no revenue growth over the past ten years(despite rate hikes)! $PCG  https://t.co/XT1hqC2r1t,en,[],['https://seekingalpha.com/article/4310425'],[],5,2,21,[],"['eix', 'pcg']",https://twitter.com/WallStCynic/status/1202218817906249728,False,,0,,,,,,,,[],,,,
1168908470738984965,1168908470738984965,2019-09-03 20:57:51 IST,2019-09-03,20:57:51,+0530,1961333743,wallstcynic,Diogenes,,"Criminal investigation (of $EIX) is focusing on cause, origin of Woolsey Fire | Funny, I saw no 8-k by Edison International on this. These California electric utilities are quite something. ⁦@hiltzikm⁩ ⁦@Sammy_Roth⁩   https://t.co/bgqAGsa8O1",en,"[{'screen_name': 'hiltzikm', 'name': 'michael hiltzik', 'id': '32078497'}, {'screen_name': 'sammy_roth', 'name': 'sammy roth', 'id': '390842981'}]",['https://www.vcstar.com/story/news/local/communities/simi-valley/2019/08/30/criminal-investigation-focusing-cause-origin-woolsey-fire/2164551001/'],[],2,1,6,[],['eix'],https://twitter.com/WallStCynic/status/1168908470738984965,False,,0,,,,,,,,[],,,,
1103310243273019393,1103310243273019393,2019-03-06 20:33:55 IST,2019-03-06,20:33:55,+0530,1961333743,wallstcynic,Diogenes,,Moody's downgrades Edison International to Baa3 and Southern California Edison to Baa2; outlooks negative - Moody's | Future wildfire liabilities $EIX $PCG  https://t.co/gXrvMjM4Rf?,en,[],['https://m.moodys.com/research-preview/Moodys-downgrades-Edison-International-to-Baa3-and-Southern-California-Edison--PR_396014'],[],1,0,11,[],"['eix', 'pcg']",https://twitter.com/WallStCynic/status/1103310243273019393,False,,0,,,,,,,,[],,,,
