id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1199441056321998849,1199441056321998849,2019-11-27 03:03:27 IST,2019-11-27,03:03:27,+0530,2723696479,dividendhike,dividend hike,,McCormick &amp; Company hikes dividend by 8.8 percent. $MKC,en,[],[],[],1,5,11,[],['mkc'],https://twitter.com/dividendhike/status/1199441056321998849,False,,0,,,,,,,,[],,,,
1067796021357490176,1067796021357490176,2018-11-28 20:33:04 IST,2018-11-28,20:33:04,+0530,2723696479,dividendhike,dividend hike,,McCormick &amp; Company hikes dividend by 9.6 percent to $0.57 quarterly. $MKC @dividendaristo,en,"[{'screen_name': 'dividendaristo', 'name': 'dividend aristocrats', 'id': '2147886180'}]",[],[],0,5,12,[],['mkc'],https://twitter.com/dividendhike/status/1067796021357490176,False,,0,,,,,,,,[],,,,
935619770371670021,935619770371670021,2017-11-29 02:51:50 IST,2017-11-29,02:51:50,+0530,2723696479,dividendhike,dividend hike,,Dividend Aristocrat McCormick &amp; Company hikes dividend by 10.6 percent to $0.52 quarterly.  The new #dividend yield for $MKC is 2.1%. @dividendaristo  https://t.co/4AluFdDaee,en,"[{'screen_name': 'dividendaristo', 'name': 'dividend aristocrats', 'id': '2147886180'}]",[],['https://pbs.twimg.com/media/DPv9NVKX4AoWaLA.jpg'],0,4,13,['dividend'],['mkc'],https://twitter.com/dividendhike/status/935619770371670021,False,,1,https://pbs.twimg.com/media/DPv9NVKX4AoWaLA.jpg,,,,,,,[],,,,
