Open,High,Low,Close,Adj Close,Volume,Name
103.08999633789062,104.3499984741211,100.04000091552734,101.23999786376953,82.48255157470703,706300,EQIX
100.44000244140625,100.9800033569336,99.0,100.9000015258789,82.20555114746094,664100,EQIX
100.47000122070312,105.30000305175781,100.47000122070312,104.75,85.34220886230469,1240000,EQIX
104.44999694824219,105.19999694824219,103.25,104.91999816894531,85.48072814941406,465200,EQIX
105.0,109.31999969482422,103.91000366210938,107.75,87.78639221191406,1191200,EQIX
108.44999694824219,111.58999633789062,107.70999908447266,110.41999816894531,89.96170043945312,1411400,EQIX
110.33000183105469,112.16999816894531,110.0,111.4800033569336,90.82530975341797,814800,EQIX
111.38999938964844,112.69999694824219,110.9000015258789,112.58000183105469,91.72151184082031,703300,EQIX
112.06999969482422,112.63999938964844,111.16000366210938,112.55999755859375,91.70521545410156,868900,EQIX
112.83000183105469,114.87000274658203,112.56999969482422,113.4800033569336,92.45476531982422,1254100,EQIX
113.73999786376953,114.29000091552734,112.01000213623047,112.94999694824219,92.02295684814453,1071700,EQIX
113.75,115.0,113.43000030517578,113.5999984741211,92.55252075195312,858600,EQIX
113.58999633789062,116.12000274658203,112.91999816894531,116.12000274658203,94.60562896728516,1260400,EQIX
116.0,116.58999633789062,113.56999969482422,115.01000213623047,93.70127868652344,1462300,EQIX
114.9800033569336,117.25,113.52999877929688,115.9800033569336,94.4915542602539,922900,EQIX
116.19999694824219,118.0,114.52999877929688,117.87999725341797,96.03953552246094,751700,EQIX
118.11000061035156,121.75,118.0,119.80000305175781,97.60381317138672,2187600,EQIX
119.0999984741211,121.62999725341797,118.69999694824219,121.02999877929688,98.60591888427734,1407300,EQIX
120.12000274658203,120.12000274658203,117.5199966430664,119.4000015258789,97.2779312133789,916400,EQIX
120.62999725341797,121.0,119.0199966430664,119.95999908447266,97.7341537475586,711100,EQIX
121.16000366210938,122.23999786376953,119.0199966430664,121.58000183105469,99.05402374267578,1280100,EQIX
121.66999816894531,123.04000091552734,120.94999694824219,122.4000015258789,99.72209167480469,846300,EQIX
123.37999725341797,125.55999755859375,122.73999786376953,124.19000244140625,101.1804428100586,1164100,EQIX
123.95999908447266,125.13999938964844,122.69999694824219,123.9000015258789,100.94418334960938,758900,EQIX
124.5999984741211,129.1699981689453,123.87999725341797,129.0,105.09925842285156,1935800,EQIX
128.0,129.94000244140625,125.80000305175781,129.94000244140625,105.8651123046875,1675000,EQIX
130.0,131.02999877929688,129.4499969482422,130.9499969482422,106.6879653930664,1330700,EQIX
129.72999572753906,129.9499969482422,128.35000610351562,128.47999572753906,104.67559051513672,977600,EQIX
129.8699951171875,130.49000549316406,126.83000183105469,129.4600067138672,105.47406005859375,996400,EQIX
129.64999389648438,131.13999938964844,128.27000427246094,128.94000244140625,105.05036926269531,1344100,EQIX
128.47999572753906,130.30999755859375,126.73999786376953,127.41999816894531,103.8119888305664,1449800,EQIX
130.05999755859375,139.0,129.36000061035156,133.8699951171875,109.06695556640625,2999900,EQIX
133.97000122070312,134.60000610351562,132.08999633789062,134.60000610351562,109.66170501708984,1462300,EQIX
131.07000732421875,134.77999877929688,131.0399932861328,134.75999450683594,109.79205322265625,1533100,EQIX
134.41000366210938,135.8800048828125,133.52999877929688,134.82000732421875,109.84095001220703,853300,EQIX
134.02999877929688,136.72999572753906,132.72000122070312,136.5500030517578,111.25043487548828,998600,EQIX
136.22999572753906,139.0399932861328,135.75999450683594,138.7899932861328,113.07539367675781,1116900,EQIX
137.41000366210938,139.5,135.88999938964844,139.2899932861328,113.48274230957031,782600,EQIX
139.13999938964844,140.69000244140625,137.55999755859375,139.0500030517578,113.28722381591797,984400,EQIX
138.9199981689453,143.0,137.69000244140625,140.17999267578125,114.20783996582031,1412900,EQIX
141.17999267578125,142.82000732421875,140.02000427246094,142.27000427246094,115.9106216430664,1391500,EQIX
141.82000732421875,142.50999450683594,137.85000610351562,138.83999633789062,113.11611938476562,1537700,EQIX
137.6999969482422,139.66000366210938,136.82000732421875,137.47000122070312,111.99999237060547,1468200,EQIX
135.8699951171875,136.24000549316406,134.14999389648438,134.7100067138672,109.7513427734375,1093900,EQIX
134.6199951171875,137.52999877929688,134.6199951171875,137.0,111.61705017089844,1012300,EQIX
137.77999877929688,140.60000610351562,137.3800048828125,139.3800048828125,113.55606842041016,877300,EQIX
139.38999938964844,140.2100067138672,138.02000427246094,138.3800048828125,112.74136352539062,751100,EQIX
139.0399932861328,140.47000122070312,137.6300048828125,139.0,113.2464828491211,731700,EQIX
139.6699981689453,141.14999389648438,138.14999389648438,140.6300048828125,114.57450103759766,1263100,EQIX
140.57000732421875,141.9600067138672,139.52000427246094,141.72999572753906,115.47067260742188,1112600,EQIX
141.5500030517578,142.52999877929688,140.33999633789062,141.49000549316406,115.27517700195312,562000,EQIX
141.25,141.99000549316406,140.60000610351562,141.75999450683594,115.49510955810547,1126000,EQIX
142.1300048828125,143.14999389648438,140.60000610351562,140.6199951171875,114.56632232666016,718300,EQIX
139.75,141.10000610351562,138.07000732421875,140.7899932861328,114.70482635498047,754200,EQIX
141.77999877929688,146.7899932861328,141.77999877929688,146.0500030517578,118.99031829833984,1412200,EQIX
142.85000610351562,146.1999969482422,142.35000610351562,146.0800018310547,119.01472473144531,1268200,EQIX
145.66000366210938,147.35000610351562,144.10000610351562,147.27999877929688,119.9924087524414,729500,EQIX
147.69000244140625,152.30999755859375,147.69000244140625,151.57000732421875,123.48756408691406,1369200,EQIX
151.82000732421875,152.5,150.58999633789062,151.86000061035156,123.72381591796875,962800,EQIX
