Open,High,Low,Close,Adj Close,Volume,Name
156.98333740234375,157.97666931152344,155.72332763671875,157.23666381835938,157.23666381835938,1033800,ISRG
157.3433380126953,158.1666717529297,155.3333282470703,155.64666748046875,155.64666748046875,872100,ISRG
155.97332763671875,157.5433349609375,154.68666076660156,157.45333862304688,157.45333862304688,1569900,ISRG
156.99667358398438,157.6566619873047,152.9633331298828,153.48666381835938,153.48666381835938,1522500,ISRG
152.93666076660156,153.25332641601562,150.0833282470703,150.5,150.5,1398600,ISRG
151.19332885742188,152.14666748046875,148.85000610351562,150.06333923339844,150.06333923339844,1305900,ISRG
149.4566650390625,152.586669921875,148.6999969482422,152.31666564941406,152.31666564941406,957600,ISRG
152.49667358398438,153.61666870117188,151.68333435058594,152.7100067138672,152.7100067138672,645900,ISRG
152.47999572753906,153.663330078125,151.3333282470703,153.14666748046875,153.14666748046875,610200,ISRG
154.76333618164062,155.6666717529297,154.0500030517578,155.1199951171875,155.1199951171875,937200,ISRG
155.19000244140625,157.06666564941406,155.1366729736328,156.95333862304688,156.95333862304688,885600,ISRG
157.9066619873047,158.8300018310547,155.8333282470703,158.21665954589844,158.21665954589844,1767300,ISRG
148.3333282470703,149.92666625976562,143.086669921875,148.55999755859375,148.55999755859375,4841100,ISRG
149.1199951171875,152.6199951171875,147.0,148.1300048828125,148.1300048828125,2298600,ISRG
147.1666717529297,148.69667053222656,145.8333282470703,146.6666717529297,146.6666717529297,1267800,ISRG
145.54666137695312,151.8866729736328,145.54666137695312,151.8866729736328,151.8866729736328,1572600,ISRG
152.32000732421875,152.9066619873047,150.6666717529297,152.1266632080078,152.1266632080078,1267200,ISRG
151.52333068847656,153.8633270263672,151.0066680908203,153.0,153.0,627900,ISRG
151.6666717529297,152.6666717529297,150.4499969482422,152.17333984375,152.17333984375,1024200,ISRG
153.1666717529297,153.5,151.3000030517578,153.30332946777344,153.30332946777344,678300,ISRG
153.82333374023438,154.97999572753906,152.96665954589844,154.31333923339844,154.31333923339844,614400,ISRG
154.6666717529297,162.94667053222656,154.5,161.0,161.0,3218400,ISRG
162.11666870117188,165.17666625976562,161.1666717529297,164.00332641601562,164.00332641601562,2027400,ISRG
163.22000122070312,164.75332641601562,161.0433349609375,163.79666137695312,163.79666137695312,1073700,ISRG
163.04666137695312,164.85667419433594,162.79666137695312,164.6666717529297,164.6666717529297,681900,ISRG
164.19332885742188,164.42666625976562,161.6666717529297,163.97332763671875,163.97332763671875,840300,ISRG
164.49000549316406,164.5066680908203,162.58999633789062,164.1366729736328,164.1366729736328,731400,ISRG
162.9933319091797,164.5,162.13333129882812,163.61000061035156,163.61000061035156,884100,ISRG
164.19332885742188,168.6699981689453,164.03334045410156,167.69000244140625,167.69000244140625,1430100,ISRG
167.57000732421875,171.51666259765625,166.8733367919922,170.13333129882812,170.13333129882812,1445100,ISRG
171.72666931152344,171.8699951171875,168.24000549316406,168.41000366210938,168.41000366210938,1221900,ISRG
168.4933319091797,171.0833282470703,167.8333282470703,169.17999267578125,169.17999267578125,1094700,ISRG
169.10667419433594,170.63333129882812,168.3333282470703,168.663330078125,168.663330078125,758700,ISRG
168.836669921875,169.6566619873047,166.6666717529297,168.30332946777344,168.30332946777344,525600,ISRG
167.8699951171875,169.35667419433594,167.0066680908203,168.02667236328125,168.02667236328125,549000,ISRG
168.43333435058594,169.90333557128906,167.67333984375,168.7866668701172,168.7866668701172,483900,ISRG
169.48666381835938,171.2100067138672,168.61000061035156,170.9199981689453,170.9199981689453,620700,ISRG
170.0399932861328,172.82333374023438,169.1566619873047,171.41000366210938,171.41000366210938,848700,ISRG
171.9600067138672,172.49667358398438,170.5833282470703,171.89666748046875,171.89666748046875,615900,ISRG
171.48666381835938,172.0433349609375,170.34666442871094,170.5399932861328,170.5399932861328,659400,ISRG
170.0399932861328,173.8333282470703,169.8333282470703,173.77667236328125,173.77667236328125,930600,ISRG
173.94332885742188,174.36666870117188,171.77000427246094,172.30332946777344,172.30332946777344,720900,ISRG
171.47332763671875,173.19667053222656,170.43333435058594,171.14332580566406,171.14332580566406,723600,ISRG
170.22332763671875,170.5,167.7566680908203,168.8800048828125,168.8800048828125,814800,ISRG
169.89666748046875,170.49667358398438,169.0500030517578,169.4166717529297,169.4166717529297,456600,ISRG
170.36666870117188,173.23333740234375,170.0833282470703,172.2866668701172,172.2866668701172,589500,ISRG
172.6999969482422,175.50332641601562,172.6999969482422,174.61000061035156,174.61000061035156,969000,ISRG
174.86666870117188,176.56666564941406,174.13999938964844,175.49000549316406,175.49000549316406,896100,ISRG
176.6666717529297,177.32666015625,175.6666717529297,177.10667419433594,177.10667419433594,646800,ISRG
176.93666076660156,177.6666717529297,175.28334045410156,176.06666564941406,176.06666564941406,759000,ISRG
175.69000244140625,176.22666931152344,174.6300048828125,176.06666564941406,176.06666564941406,646500,ISRG
175.31333923339844,177.0366668701172,175.31333923339844,176.5800018310547,176.5800018310547,1164600,ISRG
176.1699981689453,176.67999267578125,175.04666137695312,176.51333618164062,176.51333618164062,594900,ISRG
175.4066619873047,177.30667114257812,175.0,177.2100067138672,177.2100067138672,445200,ISRG
177.14999389648438,178.61666870117188,176.7899932861328,177.63999938964844,177.63999938964844,410700,ISRG
176.9199981689453,179.33999633789062,176.3333282470703,178.27000427246094,178.27000427246094,579300,ISRG
178.89999389648438,178.89999389648438,176.8699951171875,177.8000030517578,177.8000030517578,400200,ISRG
179.13333129882812,180.7933349609375,177.97000122070312,180.65333557128906,180.65333557128906,567600,ISRG
